,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.615,0.244,5,-10.168,1,0.407,0.491,0.837,0.0781,0.438,183.07,audio_features,1rsEvWK5fLi4RABG2V9hWw,spotify:track:1rsEvWK5fLi4RABG2V9hWw,https://api.spotify.com/v1/tracks/1rsEvWK5fLi4RABG2V9hWw,https://api.spotify.com/v1/audio-analysis/1rsEvWK5fLi4RABG2V9hWw,209250,4
1,0.676,0.0637,5,-14.014,0,0.0414,0.455,0.871,0.112,0.397,86.04,audio_features,6YNgJyZedfd8t0fTZ0K2Pg,spotify:track:6YNgJyZedfd8t0fTZ0K2Pg,https://api.spotify.com/v1/tracks/6YNgJyZedfd8t0fTZ0K2Pg,https://api.spotify.com/v1/audio-analysis/6YNgJyZedfd8t0fTZ0K2Pg,157602,4
2,0.637,0.41,6,-16.681,0,0.0819,0.774,0.883,0.474,0.268,84.009,audio_features,0MDxi9pB8WhAN0CowRHxOf,spotify:track:0MDxi9pB8WhAN0CowRHxOf,https://api.spotify.com/v1/tracks/0MDxi9pB8WhAN0CowRHxOf,https://api.spotify.com/v1/audio-analysis/0MDxi9pB8WhAN0CowRHxOf,231429,4
3,0.848,0.336,3,-15.497,0,0.282,0.456,0.466,0.263,0.643,77.024,audio_features,6sciICDOus9ej2estmFD2E,spotify:track:6sciICDOus9ej2estmFD2E,https://api.spotify.com/v1/tracks/6sciICDOus9ej2estmFD2E,https://api.spotify.com/v1/audio-analysis/6sciICDOus9ej2estmFD2E,115325,4
4,0.848,0.184,6,-10.172,1,0.056,0.0063,0.853,0.0805,0.925,158.028,audio_features,5MCU6qAUf4VRd624gZtx14,spotify:track:5MCU6qAUf4VRd624gZtx14,https://api.spotify.com/v1/tracks/5MCU6qAUf4VRd624gZtx14,https://api.spotify.com/v1/audio-analysis/5MCU6qAUf4VRd624gZtx14,126123,4
5,0.681,0.267,7,-14.422,0,0.134,0.632,0.844,0.132,0.641,83.104,audio_features,1SqyURWEBXYRwbFm08DCBe,spotify:track:1SqyURWEBXYRwbFm08DCBe,https://api.spotify.com/v1/tracks/1SqyURWEBXYRwbFm08DCBe,https://api.spotify.com/v1/audio-analysis/1SqyURWEBXYRwbFm08DCBe,161938,4
6,0.829,0.298,9,-15.673,1,0.357,0.645,0.864,0.112,0.395,156.052,audio_features,2OgbNe7c7T20Xsyr36AbAZ,spotify:track:2OgbNe7c7T20Xsyr36AbAZ,https://api.spotify.com/v1/tracks/2OgbNe7c7T20Xsyr36AbAZ,https://api.spotify.com/v1/audio-analysis/2OgbNe7c7T20Xsyr36AbAZ,175385,4
7,0.484,0.254,11,-7.54,1,0.274,0.658,0.909,0.121,0.705,148.463,audio_features,6Ditgndq8NnRVJf8K3hs7W,spotify:track:6Ditgndq8NnRVJf8K3hs7W,https://api.spotify.com/v1/tracks/6Ditgndq8NnRVJf8K3hs7W,https://api.spotify.com/v1/audio-analysis/6Ditgndq8NnRVJf8K3hs7W,115200,4
8,0.831,0.498,0,-12.817,0,0.133,0.482,0.895,0.114,0.221,150.005,audio_features,465cFUUYgg9brsdLrpcvL6,spotify:track:465cFUUYgg9brsdLrpcvL6,https://api.spotify.com/v1/tracks/465cFUUYgg9brsdLrpcvL6,https://api.spotify.com/v1/audio-analysis/465cFUUYgg9brsdLrpcvL6,134514,4
9,0.755,0.306,0,-13.737,0,0.125,0.0998,0.931,0.0819,0.463,180.452,audio_features,6Gjxy40l0nhMRUB7XRwLvg,spotify:track:6Gjxy40l0nhMRUB7XRwLvg,https://api.spotify.com/v1/tracks/6Gjxy40l0nhMRUB7XRwLvg,https://api.spotify.com/v1/audio-analysis/6Gjxy40l0nhMRUB7XRwLvg,108000,4
10,0.576,0.36,0,-15.509,1,0.0951,0.654,0.83,0.0767,0.446,154.027,audio_features,0wte6sTInjPoOe3m7ZB4FX,spotify:track:0wte6sTInjPoOe3m7ZB4FX,https://api.spotify.com/v1/tracks/0wte6sTInjPoOe3m7ZB4FX,https://api.spotify.com/v1/audio-analysis/0wte6sTInjPoOe3m7ZB4FX,156125,4
11,0.576,0.242,7,-12.679,1,0.233,0.895,0.949,0.164,0.474,143.926,audio_features,6gLMt4MqDwYPRWSGJOXN5Q,spotify:track:6gLMt4MqDwYPRWSGJOXN5Q,https://api.spotify.com/v1/tracks/6gLMt4MqDwYPRWSGJOXN5Q,https://api.spotify.com/v1/audio-analysis/6gLMt4MqDwYPRWSGJOXN5Q,212250,1
12,0.79,0.133,8,-9.365,1,0.0915,0.875,0.808,0.111,0.422,69.997,audio_features,19JzJOMs4wkuKxY8WEOMea,spotify:track:19JzJOMs4wkuKxY8WEOMea,https://api.spotify.com/v1/tracks/19JzJOMs4wkuKxY8WEOMea,https://api.spotify.com/v1/audio-analysis/19JzJOMs4wkuKxY8WEOMea,122704,4
